| Drug Name | Sagace URL |
|IGLO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IGLO|
|IGD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IGD|
|IKZF|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IKZF|
|IL|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IL|
|INO80|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=INO80|
|IPO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IPO|
|ISET|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ISET|
|ITG|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ITG|
|ITPR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ITPR|
|KANK|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KANK|
|KCN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KCN|
|KAT|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KAT|
|KDM|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KDM|
|KMT|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KMT|
|KIF|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KIF|
|KIR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KIR|
|KLF|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KLF|
|KLHL|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KLHL|
|KLK|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KLK|
|KLR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KLR|
|KRTAP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=KRTAP|
|LAIR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=LAIR|
|LAM|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=LAM|
|LARP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=LARP|
|LCE|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=LCE|
|LDLR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=LDLR|
|LGALS|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=LGALS|
|CHRN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CHRN|
|GABRA|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GABRA|
|GLRA|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GLRA|
