| Generic Name | Targetmine URL |
|L-Valine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Valine|
|Vitamin A|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Vitamin+A|
|Vitamin E|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Vitamin+E|
|Pyridoxine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pyridoxine|
|Lipoic Acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Lipoic+Acid|
|L-Isoleucine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Isoleucine|
|Aspartame|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Aspartame|
|Cholecalciferol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Cholecalciferol|
|Menadione|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Menadione|
|Adenosine triphosphate|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Adenosine+triphosphate|
|L-Proline|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Proline|
|Adenine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Adenine|
|L-Asparagine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Asparagine|
|Bortezomib|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Bortezomib|
|Pravastatin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pravastatin|
|Fluvoxamine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Fluvoxamine|
|Valsartan|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Valsartan|
|Ramipril|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ramipril|
|Masoprocol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Masoprocol|
|Flunisolide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Flunisolide|
|Baclofen|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Baclofen|
|Amphetamine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Amphetamine|
|Pentagastrin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pentagastrin|
|Nicotine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Nicotine|
|Cevimeline|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Cevimeline|
|Lorazepam|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Lorazepam|
|Esmolol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Esmolol|
|Ethchlorvynol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ethchlorvynol|
|Carbidopa|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Carbidopa|
|Phentermine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Phentermine|
|Indecainide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Indecainide|
|Tramadol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Tramadol|
|Vidarabine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Vidarabine|
