| Gene Symbol | Targetmine URL |
|disseminated intravascular coagulation|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=disseminated+intravascular+coagulation|
|rabies|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=rabies|
|psychotic disorder|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=psychotic+disorder|
|larynx cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=larynx+cancer|
|autonomic neuropathy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=autonomic+neuropathy|
|heart valve disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=heart+valve+disease|
|diabetic neuropathy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=diabetic+neuropathy|
|hyperandrogenism|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hyperandrogenism|
|familial hyperlipidemia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=familial+hyperlipidemia|
|diabetic angiopathy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=diabetic+angiopathy|
|gestational diabetes|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=gestational+diabetes|
|distal muscular dystrophy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=distal+muscular+dystrophy|
|protein-energy malnutrition|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=protein-energy+malnutrition|
|acute kidney failure|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=acute+kidney+failure|
|coronary arteriosclerosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=coronary+arteriosclerosis|
|Pick's disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pick's+disease|
|neuroma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=neuroma|
|neurilemmoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=neurilemmoma|
|morbid obesity|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=morbid+obesity|
|overnutrition|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=overnutrition|
|ischemia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=ischemia|
|pulmonary alveolar microlithiasis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pulmonary+alveolar+microlithiasis|
|pulmonary fibrosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pulmonary+fibrosis|
|Chagas disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Chagas+disease|
|neurogenic bladder|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=neurogenic+bladder|
|common variable immunodeficiency|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=common+variable+immunodeficiency|
|colon cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=colon+cancer|
|Lewy body dementia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Lewy+body+dementia|
|liver cirrhosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=liver+cirrhosis|
|bilirubin metabolic disorder|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=bilirubin+metabolic+disorder|
|secondary hyperparathyroidism|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=secondary+hyperparathyroidism|
|von Willebrand's disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=von+Willebrand's+disease|
|hemolytic-uremic syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hemolytic-uremic+syndrome|
|acute kidney tubular necrosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=acute+kidney+tubular+necrosis|
|Duane retraction syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Duane+retraction+syndrome|
